,empresa,national_partner,international_partner
201,03717897-CIENA DO BRASIL LTDA,2,0
202,03718096-GRANITI BRAZIL PARTICIPACOES LTDA,2,0
203,03718138-ASSOCIACAO JOAO CORREIA DE LIMA,2,0
204,03718276-SANES BRASIL AGROINDUSTRIAL LTDA,2,0
205,03718581-FLEX DO BRASIL LTDA,3,0
206,03718651-NUTRICEL INDUSTRIA E COMERCIO LTDA,3,0
207,03718797-PLATINUM CONSTRUCOES LTDA,2,0
208,03719063-VICUNHA SERVICOS LTDA.,3,0
209,03719241-COMERCIO DE COLCHOES GALVAO LTDA,3,0
210,03719388-A L J INFORMATICA LTDA,2,0
211,03719404-SR MAGAZINE LTDA,2,0
212,03719740-POSTO BRUMADO LTDA,2,0
213,"03719921-ANGIOCENTRO - CENTRO DE ANGIOLOGIA, CIRURGIA VASCULAR, ENDOVASCULAR E CARDIOLOGIA S/S LTDA",7,0
214,03720157-ARCOOP ARTEFATOS DE CONCRETO COOPERATIVO LTDA,2,0
215,03720501-INVEST COMERCIAL E IMPORTACAO LTDA,5,0
216,03720909-ALDROVANDI COMERCIO IMPORTACAO E EXPORTACAO,3,0
217,03720943-ACP AGROPECUARIA LTDA,2,0
218,03721079-FREMANTLEMEDIA BRASIL PRODUCAO DE TELEVISAO LTDA.,2,0
219,03721144-PONTO CRUZ CONFECCOES LTDA,2,0
220,03721299-ORTOLUZ ORTOPEDIA DE LUZIANIA LTDA,3,0
221,03721486-DOTE SERVICOS E CONSTRUCOES EIRELI,1,0
222,03721787-TRANSVEGHER TRANSPORTES E LOGISTICA LTDA,2,0
223,03721835-MAC INCORPORADORA LTDA.,4,0
224,03721932-AMPHENOL TFC FIOS E CABOS DO BRASIL LTDA,1,0
225,03722051-RULTA INDUSTRIAS METALURGICAS LTDA,1,0
226,03722064-RESTAURANTE E LANCHONETE MODELO DE ITAPERUNA LTDA,2,0
227,03722068-OLE MIDIA LTDA,3,0
228,03722323-GEORESEARCH DO BRASIL LTDA.,7,0
229,03723023-BWF SUL AMERICANA REPRESENTACOES LTDA,1,0
230,03723481-TECNO CLEAN INDUSTRIAL LTDA.,4,0
231,03723596-LIVRARIA E PAPELARIA ADONAI LTDA,2,0
232,03723603-SERVPLAN CORRETORA DE PLANOS DE SAUDE LTDA,3,0
233,03724139-UNIPRIME ADMINISTRADORA E CORRETORA DE SEGUROS EIRELI,3,0
234,03724170-K2K RECUPERADORA DE CREDITOS E ADMINISTRADORA DE BENS LTDA.,3,0
235,03724246-CLEAT INDUSTRIA LTDA,1,0
236,03724323-PARTIDO DA REPUBLICA,1,0
237,03724380-COLEGIO DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL ATHOS SS LTDA,2,0
238,03724455-HETEREA COMERCIAL LTDA,1,0
239,03724495-VERDE VALE PARTICIPACOES E ASSESSORIA EMPRESARIAL LTDA,6,0
240,03724559-POUSADA AXE DE BUZIOS LTDA,2,0
241,03724662-FRAN'S INDUSTRIA E COMERCIO DE CONECTORES LTDA,3,0
242,03724779-ARIES MECANISMOS DO BRASIL LTDA.,1,0
243,03725701-KNOWTRACE INFORMATICA LTDA,0,2
244,03726408-EMBRACOMP DISTRIBUIDORA DE PRODUTOS PARA INFORMATICA LTDA,2,0
245,03726596-DIBRAS LTDA,1,0
246,03726636-TECHNIFOR PICTOR LTDA,1,0
247,03726708-E.W. BLANCH CORRETORA DE RESSEGUROS LTDA.,2,0
248,03726883-PROAGUAS TRANSANTISTA TRANSPORTES LTDA,2,0
249,03726934-AQUANIMA BRASIL LTDA.,2,0
250,03727022-BANK LEU REPRESENTACOES LTDA,1,0
251,"03727077-IMACEL - INDUSTRIA DE MADEIRAS, COMERCIO E EXPORTACAO LTDA",2,0
252,03727177-TRI NET LOGISTICA BRASIL LTDA.,1,0
253,03727499-VOLTEC - ELETRONICA LTDA,3,0
254,03727705-PHIHONG PWM BRASIL LTDA.,2,0
255,03727941-CITROTEC INDUSTRIA E COMERCIO LTDA,2,0
256,03728002-LAR E LAZER COMERCIO E REPRESENTACOES LTDA,1,0
257,03728101-2AG CONSULTORIA EMPRESARIAL E SERVICOS LTDA.,7,0
258,03728193-REBOUCAS INFORMATICA LTDA,2,0
259,03728296-INDUSTRIA E COMERCIO DE FUMOS LEAO DO SUL LTDA,2,0
260,03728976-ODONTOLOGIA E MASSAGENS TERAPEUTICAS NUMATA LTDA,2,0
261,03729309-JA ONLINE LTDA,0,1
262,03729405-OCEAN DESIGN LTDA.,1,0
263,03729552-ANILA GESTAO DE FRANQUIAS EIRELI,2,0
264,03729608-INTERMODAL TANK TRANSPORT BRASIL OPERADOR DE CONTEINERES TANQUE LTDA,1,1
265,03729614-ZUQUETT REPRESENTACOES COMERCIAIS LTDA.,2,0
266,03729627-ASCEC ENSINO SUPERIOR CEARENSE LTDA,3,0
267,03729722-CONSTRUTORA OLIVEIRA FORTES LTDA,2,0
268,03729834-GUANABARA AGRICOLA LTDA,2,0
269,03729960-INSTITUTO EDUCACIONAL CRESCENDO E APRENDENDO LTDA,13,0
270,03730319-SARAIVA CEREAIS LTDA,2,0
271,03730412-MADEREIRA E FERRAGEM COLONIAL LTDA,2,0
272,03730437-SUL BRASIL-SISTEMAS CORPORATIVOS LTDA,1,0
273,03730700-SISTEMA TAUBATE GRAFICA E EDITORA LTDA,4,0
274,03730731-LOLA PARTICIPACOES LTDA,6,0
275,03730964-CANEVARI DO BRASIL COMERCIAL DE BEBIDAS LTDA,1,2
276,03730989-MYCOUNTRY BRAZIL LTDA,4,0
277,03731129-ARAGUAIA CONSERVAS ALIMENTICIAS LTDA,1,0
278,03731351-ADMINISTRACAO DE ASSITENCIA FAMILIAR CAMPOVIDA PREVER LTDA,3,0
279,03731799-MARCOS MARTINI DO BRASIL LTDA,0,2
280,03732219-BI ADMINISTRADORA DE CARTOES DE CREDITO E SERVICOS LTDA,5,0
281,03732265-AGES EMPREENDIMENTOS EDUCACIONAIS LTDA,2,0
282,03732270-CLINICA FAKHOURI LTDA,3,0
283,03732571-RSO CALCADOS LTDA,2,0
284,03732598-SAY SAY MODAS TRICO E CONFECCOES LTDA,1,1
285,03732908-INSTITUTO ORGANIZACAO BRASIL AMERICAS LTDA,2,0
