empresa,cnpj,state,natureza_legal,quantidade_natureza_legal,total_capital,quantidade_socios
CAPITAL HUMANO - TRABALHO TEMPORARIO LTDA,03695307,PR,Sociedade Empresária Limitada,14353,3.62E7,1
RESIDENCE ENGENHARIA LTDA,03728961,GO,Sociedade Empresária Limitada,14353,3.8E7,1
DELTA M.M.M. INDUSTRIA E COMERCIO EIRELI,03740589,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.84E7,1
PLANEJA-ASSESSORIA EMPRESARIAL LTDA,03713231,BA,Sociedade Empresária Limitada,14353,3.9E7,1
BIOPHARMA FARMACIA DE MANIPULACAO E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,03741983,MG,Sociedade Empresária Limitada,14353,3.9E7,1
LLK GESTAO EM RECURSOS HUMANOS LTDA,03716869,PR,Sociedade Empresária Limitada,14353,3.94E7,1
C C REIS EIRELI,03684802,MA,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.0E7,1
L F INCORPORACAO LTDA,03693189,RJ,Sociedade Empresária Limitada,14353,4.0E7,1
FERNANPEL EMBALAGENS LTDA,03693897,SP,Sociedade Empresária Limitada,14353,4.0E7,1
TEA COMERCIO VAREJISTA DE MATERIAL E SERVICOS DE CONSTRUCAO EIRELI,03701606,AM,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.0E7,1
L.T.M CONSTRUTORA LTDA,03703868,PE,Sociedade Empresária Limitada,14353,4.0E7,1
FRONTAL COMERCIAL EIRELI,03706043,MS,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.0E7,1
UNIVERSAL QUIDAM DO BRASIL LTDA,03707206,RS,Sociedade Empresária Limitada,14353,4.0E7,1
WHM SERVICOS CORRETAGEM EIRELI,03718188,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.0E7,1
UNIAO DISTRIBUIDORA E TRANSPORTE DE FRUTAS E LEGUMES - EIRELI,03723502,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.0E7,1
CONVENIENCY COMERCIO DE GENEROS ALIMENTICIOS LTDA,03729616,PA,Sociedade Empresária Limitada,14353,4.0E7,1
OLIVE GARDEN BAR E RESTAURANTE EIRELI,03735489,RJ,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.0E7,1
PETROPORA COMERCIO DE COMBUSTIVEIS EIRELI,03737521,MS,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.0E7,1
CENTRO DE ENSINO SUPERIOR SAO MARCOS EIRELI,03741903,TO,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.0E7,1
P. R. TRANSPORTES LTDA,03743464,PA,Sociedade Empresária Limitada,14353,4.0E7,1
SANTA IZABEL COMERCIO IMPORTACAO E EXPORTACAO EIRELI,03783928,GO,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.0E7,1
LOK EQUIPAMENTOS E SERVICOS LTDA,03786607,MA,Sociedade Empresária Limitada,14353,4.0E7,1
GOLA POLO TEXTIL E MAGAZINE LTDA,03789577,CE,Sociedade Empresária Limitada,14353,4.0E7,1
CONSTRUTORA SAO MARTINHO EIRELI,03807542,TO,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.0E7,1
JOAO PEDRO MIRANDA EIRELI,03811466,RS,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.0E7,1
TIJUCANA TRANSPORTES EIRELI,03814040,CE,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.0E7,1
CONSTRUTORA E INCORPORADORA QUADRANTE EIRELI,03815548,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.0E7,1
EITTE - EMPRESA DE INFORMATICA TELECOMUNICACOES TRANSPORTE E ELETRONICA LTDA,03817888,BA,Sociedade Empresária Limitada,14353,4.0E7,1
RLS LOCACAO DE VEICULO EIRELI,03820689,BA,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.0E7,1
ALIANCA INSTALACOES DE MAQUINAS E MONTAGENS DE ESTRUTURAS METALICAS - EIRELI,03824772,SC,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.0E7,1
MIPS GESTAO EM TI E COMUNICACAO DIGITAL EIRELI,03829682,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.0E7,1
VITALINO INCORPORACOES & FACILITIES EIRELI,03691424,SE,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.015E7,1
FADEN INDUSTRIA E COMERCIO TEXTIL EIRELI,03732704,SC,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.1E7,1
CMA DESENVOLVIMENTO DE NEGOCIOS E TECNOLOGIA - EIRELI,03756929,PE,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.1E7,1
JBF MINERACAO LTDA,03806521,GO,Sociedade Empresária Limitada,14353,4.1E7,1
TEAM LEASING BRASIL PARCERIA EM SOLUCAO DE MAO DE OBRA EIRELI,03759044,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,4.2E7,1
